Company Name,Tags,Phone,Address
Shun Fat Brass Foundry,鑄銅、鑄鋁、鑄鎂等, 2476 5749,"Tan Kwai Tsuen, Yuen Long"
大榮五金鑄造廠,鑄銅、鑄鋁、鑄鎂等, 2493 7013,荃灣 光板田村
偉興五金鑄造廠,鑄銅、鑄鋁、鑄鎂等, 2448 4923,大角咀 港灣豪庭
劉祥利鑄造廠,鑄銅、鑄鋁、鑄鎂等, 2674 7378,粉嶺 孔嶺北村
華聯鑄造廠,"鑄鐵,Cast Iron Grating,Iron,Manhole Cover", 2674 4202,粉嶺 坪輋下山雞乙80號地下
合豐鐵工廠有限公司,鑄鐵, 2476 7328,元朗 唐人新村
明利鑄造有限公司,鑄鐵, 2461 8676,屯門 新慶村33
祥興鑄鐵有限公司,鑄鐵, 2447 1262,元朗 Pak Sha Tsuen
華記鑄造廠,鑄鐵, 2447 1931,元朗 洪屋村92A
永聯鑄造廠,鑄鐵, 2479 0138,元朗 白沙村
榮泰機器鑄造廠有限公司,鑄鐵, 2477 0807,元朗 唐人新村
金堂鋼鐵有限公司,鋼鐵銷售及儲藏, 2787 1628,大角咀 興利工業大廈
成倡有限公司,鋼鐵銷售及儲藏, 2575 6388,灣仔 海富中心
宏利鋼鐵有限公司,鋼鐵銷售及儲藏, 2796 3307,上環 永安中心
金源行鐵倉有限公司,鋼鐵銷售及儲藏, 2390 3351,旺角 嘉禮大廈
德利興記有限公司,鋼鐵銷售及儲藏, 2392 3272,大角咀 福明大廈
中國罕王控股有限公司,鐵, (8624) 3129 8912,中區 皇后大道中15號置地廣場告羅士打大廈8樓
得薩鍛鑄特製有限公司,"鋼鐵,鋼鐵", 9207 1296,銅鑼灣 軒尼詩道472號南業大廈2樓211室
Vale S.A.-A 類優先預託證券,鋼鐵, 55 (21) 38144540,中區 德輔道中161-167號香港貿易中心7樓
Vale S.A.-普通預託證券,鋼鐵, 55 (21) 38144540,中區 德輔道中161-167號香港貿易中心7樓
三興(香港)有限公司,鋼鐵, 2815 2652,上環 聯發商業中心
三灃鋼鐵有限公司,鋼鐵, 2479 0383,元朗 紀業樓
大興鋼鐵有限公司 ,鋼鐵, 2674 6777,粉嶺 布吉仔
中國東方集團控股有限公司,鋼鐵, 2511 1369,灣仔 港灣道23號鷹君中心9樓901-902及910室
天工國際有限公司,鋼鐵, 86 511 86312 333,灣仔 分域街18號捷利中心13樓1303室
史蒂福斯遠東有限公司,鋼鐵, 2834 3923,觀塘 創貿廣場
永嘉特種鋼材(香港)有限公司,鋼鐵, 2728 7071,沙田 沙田商業中心
利泰國際有限公司,鋼鐵, 2648 8481,葵涌 亞洲貿易中心
和泰鋼鐵有限公司,鋼鐵, 2496 7151,青衣 青衣路
岡谷鋼機香港有限公司,鋼鐵, 2548 8227,上環 富衛金融中心
日通鋼具傢俬有限公司,辦公室傢俬及設備─鋼製, 2310 1318,屯門 屯門中央廣場
亞洲鋼具有限公司,辦公室傢俬及設備─鋼製, 3679 3018,長沙灣 宏昌工廠大廈
New Time Ofc Furn Co,辦公室傢俬及設備─鋼製, 2419 0056,"Hang Chi Hse, Tsing Yi"
安普國際,辦公室傢俬及設備─鋼製, 3904 2896,屯門 建榮商業大廈
偉順鋼具傢俬有限公司,辦公室傢俬及設備─鋼製, 2814 0599,香港仔 新英工業中心
新力鋼具家私公司,辦公室傢俬及設備─鋼製, 2796 4281,九龍灣 金漢工業大廈
維昌鋼具廠有限公司,辦公室傢俬及設備─鋼製, 2614 2182,荃灣 大成大廈
東南環保再生資源回收有限公司,"環保回收,五金回收,五金廢料,文件銷毀,回收,回收五金,回收公司,回收電子,回收廢紙,金屬廢料", 2796 3868,九龍灣 宏開道業安工廠大廈第1座地下13-18室
群潤實業公司,"電子廢料,工業產品消毀服務,環保回收", 2522 6222,元朗 橫洲
匯權貿易有限公司,"環保回收,電子廢料", 2442 2812,元朗 屏山唐人新村路123號
衛龍廢料處理有限公司,"化學廢物清除及處理服務,化糞池清理服務,污水處理設備及服務,廢油清除及處理服務", 2653 7738,粉嶺 安樂村業暢街24號地下
U-Borne Environmental Ltd,環保回收, 2472 0608,"Ping Ha Rd, Lau Fau Shan"
Yik Shing Environmental Arrangement Perish Ltd,環保回收, 2610 1961,"Kingswin Ind Bldg, Kwai Chung"
正業國際控股有限公司,環保回收, 2877 7721,灣仔 捷利中心
綠色環保廚餘回收有限公司,環保回收, 2790 9153,九龍灣 常怡道33號宏力工業大廈9樓15室
齊合天地集團有限公司,環保回收, 2587 7700,上環 干諾道中168-200號信德中心西座14樓1410室
寶利環保有限公司,環保回收, 2488 1532,元朗八鄉 羅屋村
Chung Ching Lin,環保回收, 2683 2382,"14 On Lok Mun St, Fanling"
東興和制罐廠有限公司,"罐─批發及製造,罐頭製品,Canned Goods,cans,Tins,包裝容器,油漆罐", 2819 7207,葵涌 貨櫃碼頭路51-63號葵順工業中心12樓H室
中國包裝集團有限公司,罐─批發及製造, 2511 7702,灣仔 港灣道25號海港中心26樓2603室
永佳罐廠有限公司,罐─批發及製造, 2425 3110,葵涌 美安工業大廈
凱旋製罐廠有限公司,罐─批發及製造, 2479 0278,元朗 Flourish Food Mfy Centre
榮豐印花鐵製罐有限公司,罐─批發及製造, 2515 0133,柴灣 新業街8
JEF有限公司,罐─批發及製造, 2362 0099,葵涌 錦濱工業大廈
Rio Ind (HK) Ltd,罐─批發及製造, 2367 7187,"Veristrong Ind Centre, Sha Tin"
宇宙印花鐵製罐廠有限公司,罐─批發及製造, 2462 5120,屯門 廣建貿易中心
宏發五金製品廠有限公司,罐─批發及製造, 8100 1558,觀塘 寶業大廈
我甜貝股份有限公司,罐─批發及製造, 3101 2525,元朗 元朗貿易中心
協和製罐有限公司,罐─批發及製造, 2415 0210,旺角 交通銀行大廈
明泰製罐廠,罐─批發及製造, 2548 6429,西營盤 西營盤
昇達鐵罐有限公司,罐─批發及製造, 2666 6006,大埔 太平工業中心
新捷盛國際發展有限公司 ,滅火器─工商用, 2300 1968,旺角 總統商業大廈
永利銅鐵有限公司,鎖─零售, 2544 4365,上環 威靈頓街156
茂林電腦配匙摩登補鞋,鎖─零售, 2450 3851,屯門 萬寶購物中心
萬利專業鎖類工程,鎖─零售, 2548 6742,西營盤 大道西O/S 250
偉豪工程(貿易)公司,"防火門、防煙門,消防設備工程,Fire Defender", 2690 4983,沙田 火炭山尾街31-35號華樂工業中心E座15樓4室
安民安全用品公司,"消防設備,安全設備及用品,消防設備工程", 2547 2658,堅尼地城 德輔道西444-452號香港工業大廈6字樓F1室
